PRODUCT_ID,MANUFACTURER,PRODUCT_CODE,PURCHASE_COST,QUANTITY_ON_HAND,MARKUP,AVAILABLE,DESCRIPTION
980001,Happy End Searching,Software,1095,800000,8.25,TRUE,Identity Server
980005,Smith Bird Watching,Software,11500.99,500,55.25,TRUE,Accounting Application
980025,Wilson Fish Co,Hardware,2095.99,3000,15.75,TRUE,1Ghz Sun Blade Computer
980030,James Deli,Firmware,59.95,250,40,TRUE,10Gb Ram
980032,All Sushi,Firmware,39.95,50,25.5,TRUE,Sound Card
986710,Soft Cables,Cables,15.98,400,30,TRUE,Printer Cable
985510,Mike Recording Industries,Hardware,595,800,5.75,TRUE,24 inch Digital Monitor
988765,Easy Reach Telephones,Hardware,10.95,25,9.75,TRUE,104-Key Keyboard
986420,Soft Circle Opticians,Software,49.95,0,5.25,FALSE,Directory Server
986712,Fast Boards,Hardware,69.95,1000,10.5,TRUE,512X IDE DVD-ROM
975789,Sams Photo Center,Books,29.98,25,5,TRUE,Learn Solaris 10
971266,Computer Support Center,Cables,25.95,500,30,TRUE,Network Cable
980601,Bills Bank and Sons,Hardware,2000.95,2000,25,TRUE,300Mhz Pentium Computer
980500,Pleasant Enterprises,Books,29.95,1000,33,TRUE,Learn NetBeans
980002,Super Computer Products,Misc,75,0,12,FALSE,Corporate Expense Survey
980031,Florenc Bakery,Software,595.95,75,14,TRUE,Sun Studio C++
978493,Upper Cargo Lift Services,Books,19.95,100,5,TRUE,Client Server Testing
978494,Super Savings Pharmacy,Books,18.95,43,4,TRUE,Learn Java in 1/2 hour
978495,Early Posting Corp,Books,24.99,0,1,FALSE,Writing Web Service Applications
964025,Pauls Dairy,Software,209.95,300,41,TRUE,Jax WS Application Development Environment
964026,Joseph Ironworks,Software,259.95,220,51,TRUE,Java EE 6 Application Development Environment
964027,Nails and Screws,Software,269.95,700,61,TRUE,Java Application Development Environment
964028,Main Beauty Hair Salon,Software,219.95,300,32,TRUE,NetBeans Development Environment
980122,Birders United,Hardware,1400.95,100,25,TRUE,Solaris x86 Computer
958888,Birders United,Hardware,799.99,0,1.5,FALSE,Ultra Spacr 999Mhz Computer
958889,Birders United,Hardware,595.95,0,1.25,FALSE,686 7Ghz Computer
986733,Birders United,Hardware,69.98,400,55,TRUE,A1 900 watts Speakers
986734,Birders United,Hardware,49.95,200,65,TRUE,Mini Computer Speakers
948933,Birders United,Misc,36.95,50,75,TRUE,Computer Tool Kit
984666,Birders United,Hardware,199.95,25,45,TRUE,Flat screen Monitor
